datetime,num,daily_accumulated_biogas_production (mL/d),daily_biogas (m3/d),daily_biogas_outlier_removed (m3/d),tCOD (kg/m3),sCOD (kg/m3),IN (kmolN/m3),pH
23/09/2022,148,9329.625,0.009329625,0.009329625,,,,
24/09/2022,149,8522.2188,0.008522219,0.008522219,,,,
25/09/2022,150,8209.7813,0.008209781,0.008209781,,,,
26/09/2022,151,8131.0625,0.008131063,0.008131063,,,,
27/09/2022,152,8116.2187,0.008116219,0.008116219,,,,
28/09/2022,153,7809.4375,0.007809438,0.007809438,,,,
29/09/2022,154,5712.6562,0.005712656,0.005712656,,,0.189,
30/09/2022,155,9419.1562,0.009419156,0.009419156,,,,
01/10/2022,156,8930.125,0.008930125,0.008930125,,,,
02/10/2022,157,8122.4375,0.008122438,0.008122438,,,,
03/10/2022,158,8013,0.008013,0.008013,,,,
04/10/2022,159,,,,,,,
05/10/2022,160,,,,,,,
06/10/2022,161,7313.4688,0.007313469,0.007313469,,,,
07/10/2022,162,6859.5312,0.006859531,0.006859531,,,,
08/10/2022,163,7523.5625,0.007523563,0.007523563,,,,
09/10/2022,164,8086.8125,0.008086813,0.008086813,,,,
10/10/2022,165,7911.875,0.007911875,0.007911875,,,,
11/10/2022,166,8699.1875,0.008699188,0.008699188,,,,
12/10/2022,167,9930.0625,0.009930063,0.009930063,,,0.185,
13/10/2022,168,9395.0625,0.009395063,0.009395063,,,,
14/10/2022,169,8248.9375,0.008248938,0.008248938,,,,
15/10/2022,170,9344,0.009344,0.009344,,,,
16/10/2022,171,9843.0625,0.009843063,0.009843063,,,,
17/10/2022,172,9071.625,0.009071625,0.009071625,,,,
18/10/2022,173,8214.3125,0.008214313,0.008214313,,,,
19/10/2022,174,4542.1875,0.004542188,0.004542188,,,,
20/10/2022,175,9788.8125,0.009788813,0.009788813,,,,
21/10/2022,176,9367.875,0.009367875,0.009367875,,,,
22/10/2022,177,8360.5625,0.008360563,0.008360563,,,,
23/10/2022,178,8654.125,0.008654125,0.008654125,,,,
24/10/2022,179,9115,0.009115,0.009115,,,,
25/10/2022,180,10413.5625,0.010413563,0.010413563,,,,
26/10/2022,181,9643.5625,0.009643563,0.009643563,,,,
27/10/2022,182,7998.5,0.0079985,0.0079985,,,,
28/10/2022,183,6977.1875,0.006977188,0.006977188,,,0.182,
29/10/2022,184,8801.375,0.008801375,0.008801375,,,,
30/10/2022,185,9112.1875,0.009112188,0.009112188,,,,
31/10/2022,186,8869.0625,0.008869063,0.008869063,,,,
01/11/2022,187,6248.625,0.006248625,0.006248625,,,,
02/11/2022,188,3648.375,0.003648375,0.003648375,,,,
03/11/2022,189,7984.4375,0.007984438,0.007984438,,,,
04/11/2022,190,7797.875,0.007797875,0.007797875,,,,
05/11/2022,191,,,,,,,
06/11/2022,192,,,,,,,
07/11/2022,193,,,,,,,
08/11/2022,194,,,,,,0.191,
09/11/2022,195,8776.625,0.008776625,0.008776625,,,,
10/11/2022,196,10764.9375,0.010764938,0.010764938,,,,
11/11/2022,197,10038.6875,0.010038688,0.010038688,,,,
12/11/2022,198,10554.625,0.010554625,0.010554625,,,,
13/11/2022,199,10021.625,0.010021625,0.010021625,,,,
14/11/2022,200,10379.8125,0.010379813,0.010379813,,,,
15/11/2022,201,10032.9375,0.010032938,0.010032938,,,,
16/11/2022,202,13262.8125,0.013262813,,,,,
17/11/2022,203,11412.75,0.01141275,0.01141275,,,,
18/11/2022,204,9263.8125,0.009263813,0.009263813,,,,
19/11/2022,205,10162.8125,0.010162813,0.010162813,,,,
20/11/2022,206,6955.375,0.006955375,0.006955375,,,,
21/11/2022,207,,,,,,,
22/11/2022,208,5679.9375,0.005679938,0.005679938,,,0.18,
23/11/2022,209,5017.9375,0.005017938,0.005017938,,,,
24/11/2022,210,5663.3125,0.005663313,0.005663313,,,,
25/11/2022,211,8342.25,0.00834225,0.00834225,,,,
26/11/2022,212,7486.375,0.007486375,0.007486375,,,,
27/11/2022,213,,,,,,,
28/11/2022,214,,,,,,,
29/11/2022,215,,,,,,,
30/11/2022,216,12460.0625,0.012460063,,,,,
01/12/2022,217,10956.0625,0.010956063,0.010956063,,,,
02/12/2022,218,8188.5625,0.008188563,0.008188563,,,,
03/12/2022,219,,,,,,,
04/12/2022,220,,,,,,,
05/12/2022,221,,,,,,,
06/12/2022,222,7628.375,0.007628375,0.007628375,,,,
07/12/2022,223,9939.625,0.009939625,0.009939625,,,,
08/12/2022,224,8285.0625,0.008285063,0.008285063,,,,
09/12/2022,225,7160.188,0.007160188,0.007160188,,,,
10/12/2022,226,9672.812,0.009672812,0.009672812,,,,
11/12/2022,227,7665.25,0.00766525,0.00766525,,,,
12/12/2022,228,7688.75,0.00768875,0.00768875,,,,
13/12/2022,229,6813.25,0.00681325,0.00681325,,,,
14/12/2022,230,2835.938,0.002835938,0.002835938,,,,
15/12/2022,231,2039,0.002039,,,,,
